kworker/0:2-39    [000]   140.574740: funcgraph_entry:      # 2217.942 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   312.314170: funcgraph_entry:      # 1872.883 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   317.514113: funcgraph_entry:      # 2217.371 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   322.713662: funcgraph_entry:      # 2044.315 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   327.907458: funcgraph_entry:      ! 869.595 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   333.112853: funcgraph_entry:      ! 982.478 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   338.317592: funcgraph_entry:      # 2167.777 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   343.516982: funcgraph_entry:      # 2338.488 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   348.709634: funcgraph_entry:      ! 883.753 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   353.914748: funcgraph_entry:      # 2235.194 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   359.115994: funcgraph_entry:      ! 881.207 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   364.328958: funcgraph_entry:      # 1072.838 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   369.530279: funcgraph_entry:      # 1807.219 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   374.725110: funcgraph_entry:      ! 971.177 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   379.925319: funcgraph_entry:      # 1021.251 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   385.129330: funcgraph_entry:      # 1726.036 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   390.333991: funcgraph_entry:      # 1780.919 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   395.524585: funcgraph_entry:      ! 938.345 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   400.745959: funcgraph_entry:      # 2063.371 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   405.940291: funcgraph_entry:      # 2193.857 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   411.132652: funcgraph_entry:      ! 861.811 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   416.346493: funcgraph_entry:      ! 867.862 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   421.549425: funcgraph_entry:      # 1973.312 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   426.745379: funcgraph_entry:      # 2554.054 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   431.946153: funcgraph_entry:      # 1770.671 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   437.136836: funcgraph_entry:      ! 956.820 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   442.347711: funcgraph_entry:      # 2338.448 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   447.538847: funcgraph_entry:      ! 868.894 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   452.752193: funcgraph_entry:      # 1961.860 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   457.942782: funcgraph_entry:      ! 927.164 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   463.155368: funcgraph_entry:      ! 837.425 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   468.358590: funcgraph_entry:      # 2141.348 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   473.553685: funcgraph_entry:      # 2288.014 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   478.758914: funcgraph_entry:      # 1837.356 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   483.952490: funcgraph_entry:      # 1219.814 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   489.160076: funcgraph_entry:      ! 901.095 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   494.369261: funcgraph_entry:      # 2147.399 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   499.557485: funcgraph_entry:      ! 984.843 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   504.758001: funcgraph_entry:      ! 999.099 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   509.964661: funcgraph_entry:      ! 878.772 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   515.155803: funcgraph_entry:      # 1319.302 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   520.359214: funcgraph_entry:      # 1438.105 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   525.563274: funcgraph_entry:      # 2887.021 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   530.758824: funcgraph_entry:      ! 897.729 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   535.968401: funcgraph_entry:      # 1846.934 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   541.163916: funcgraph_entry:      # 2212.101 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   546.365388: funcgraph_entry:      # 2292.051 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   551.558828: funcgraph_entry:      # 1433.086 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   556.769304: funcgraph_entry:      # 2332.918 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   561.967105: funcgraph_entry:      # 1000.171 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   567.173194: funcgraph_entry:      # 2734.113 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   572.369523: funcgraph_entry:      # 1664.791 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   577.566059: funcgraph_entry:      # 1068.109 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   582.778070: funcgraph_entry:      # 2339.100 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   587.975111: funcgraph_entry:      # 2404.423 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   593.176281: funcgraph_entry:      # 1785.679 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   598.369186: funcgraph_entry:      ! 958.994 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   603.575305: funcgraph_entry:      # 2275.039 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   608.770262: funcgraph_entry:      # 2381.649 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   613.974707: funcgraph_entry:      # 1270.590 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   619.186841: funcgraph_entry:      # 2966.099 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   624.384473: funcgraph_entry:      # 2204.927 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   629.580386: funcgraph_entry:      ! 929.408 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   634.777138: funcgraph_entry:      ! 864.356 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   639.976395: funcgraph_entry:      ! 851.161 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   645.178744: funcgraph_entry:      # 2218.844 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   650.385275: funcgraph_entry:      # 2202.012 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:1-301   [000]   655.587225: funcgraph_entry:      # 2360.830 us |  ksmbd_decode_ntlmssp_auth_blob();
